date,startDate_min,endDate_max,duration_hours
2023-09-26,2023-09-26 01:03:59+03:00,2023-09-26 09:59:41+03:00,8.928333333333333
2023-09-27,2023-09-27 00:40:38+03:00,2023-09-27 10:45:57+03:00,10.088611111111112
2023-09-28,2023-09-28 01:27:08+03:00,2023-09-28 10:30:00+03:00,9.047777777777778
2023-09-29,2023-09-29 00:55:31+03:00,2023-09-29 10:57:23+03:00,10.03111111111111
2023-09-30,2023-09-30 01:25:52+03:00,2023-09-30 10:11:42+03:00,8.76388888888889
2023-10-01,2023-10-01 00:11:28+03:00,2023-10-01 10:26:21+03:00,10.248055555555556
2023-10-02,2023-10-02 00:47:49+03:00,2023-10-02 09:38:27+03:00,8.84388888888889
2023-10-03,2023-10-03 00:43:34+03:00,2023-10-03 09:22:00+03:00,8.640555555555556
2023-10-04,2023-10-04 01:19:39+03:00,2023-10-04 08:45:12+03:00,7.425833333333333
2023-10-05,2023-10-05 01:12:31+03:00,2023-10-05 10:00:19+03:00,8.796666666666667
2023-10-06,2023-10-06 01:17:38+03:00,2023-10-06 10:30:00+03:00,9.206111111111111
2023-10-07,2023-10-07 01:04:27+03:00,2023-10-07 10:30:39+03:00,9.436666666666667
2023-10-08,2023-10-08 00:55:30+03:00,2023-10-08 10:30:01+03:00,9.575277777777778
2023-10-09,2023-10-09 00:58:50+03:00,2023-10-09 10:30:00+03:00,9.519444444444444
2023-10-10,2023-10-10 01:12:30+03:00,2023-10-10 08:34:01+03:00,7.358611111111111
2023-10-11,2023-10-11 01:21:34+03:00,2023-10-11 09:16:21+03:00,7.913055555555555
2023-10-12,2023-10-12 00:00:00+03:00,2023-10-12 10:01:14+03:00,10.020555555555555
2023-10-13,2023-10-13 01:03:26+03:00,2023-10-13 10:30:01+03:00,9.443055555555556
2023-10-15,2023-10-15 00:00:00+03:00,2023-10-15 10:08:26+03:00,10.140555555555556
2023-10-16,2023-10-16 01:07:54+03:00,2023-10-16 08:36:40+03:00,7.479444444444445
2023-10-17,2023-10-17 00:15:55+03:00,2023-10-17 10:30:00+03:00,10.234722222222222
2023-10-19,2023-10-19 00:00:00+03:00,2023-10-19 08:57:13+03:00,8.953611111111112
2023-10-20,2023-10-20 00:49:38+03:00,2023-10-20 10:21:04+03:00,9.523888888888889
2023-10-21,2023-10-21 00:45:03+03:00,2023-10-21 10:48:42+03:00,10.060833333333333
2023-10-23,2023-10-23 00:00:00+03:00,2023-10-23 10:30:00+03:00,10.5
2023-10-25,2023-10-25 00:00:00+03:00,2023-10-25 08:50:54+03:00,8.848333333333333
2023-10-27,2023-10-27 00:00:00+03:00,2023-10-27 10:18:33+03:00,10.309166666666666
2023-10-28,2023-10-28 00:20:20+03:00,2023-10-28 10:18:18+03:00,9.966111111111111
2023-10-29,2023-10-29 00:49:47+03:00,2023-10-29 10:13:35+03:00,9.396666666666667
2023-10-30,2023-10-30 00:00:00+03:00,2023-10-30 10:24:20+03:00,10.405555555555555
2023-10-31,2023-10-31 01:20:28+03:00,2023-10-31 10:30:00+03:00,9.158888888888889
2023-11-01,2023-11-01 00:26:21+03:00,2023-11-01 08:40:16+03:00,8.231944444444444
2023-11-02,2023-11-02 01:17:36+03:00,2023-11-02 10:30:00+03:00,9.206666666666667
2023-11-03,2023-11-03 00:00:00+03:00,2023-11-03 09:12:27+03:00,9.2075
2023-11-04,2023-11-04 00:48:59+03:00,2023-11-04 09:12:21+03:00,8.389444444444445
2023-11-05,2023-11-05 01:27:50+03:00,2023-11-05 10:30:00+03:00,9.036111111111111
2023-11-06,2023-11-06 01:38:50+03:00,2023-11-06 09:30:34+03:00,7.862222222222222
2023-11-07,2023-11-07 01:01:07+03:00,2023-11-07 10:30:00+03:00,9.481388888888889
2023-11-08,2023-11-08 00:30:23+03:00,2023-11-08 10:25:04+03:00,9.911388888888888
2023-11-09,2023-11-09 01:29:38+03:00,2023-11-09 08:59:42+03:00,7.501111111111111
2023-11-10,2023-11-10 01:07:10+03:00,2023-11-10 09:47:36+03:00,8.67388888888889
2023-11-11,2023-11-11 00:45:51+03:00,2023-11-11 09:34:08+03:00,8.804722222222223
2023-11-12,2023-11-12 00:54:09+03:00,2023-11-12 10:30:02+03:00,9.598055555555556
2023-11-13,2023-11-13 00:58:41+03:00,2023-11-13 09:36:23+03:00,8.628333333333334
2023-11-14,2023-11-14 00:44:14+03:00,2023-11-14 10:29:38+03:00,9.756666666666666
2023-11-15,2023-11-15 00:17:08+03:00,2023-11-15 08:39:10+03:00,8.367222222222223
2023-11-16,2023-11-16 01:20:47+03:00,2023-11-16 08:45:25+03:00,7.410555555555556
2023-11-17,2023-11-17 03:37:33+03:00,2023-11-17 10:30:00+03:00,6.8741666666666665
2023-11-18,2023-11-18 02:24:59+03:00,2023-11-18 09:55:22+03:00,7.506388888888889
2023-11-19,2023-11-19 01:25:09+03:00,2023-11-19 10:30:00+03:00,9.080833333333333
2023-11-20,2023-11-20 01:13:36+03:00,2023-11-20 10:30:00+03:00,9.273333333333333
2023-11-21,2023-11-21 00:26:47+03:00,2023-11-21 09:30:21+03:00,9.059444444444445
2023-11-22,2023-11-22 01:00:33+03:00,2023-11-22 10:15:35+03:00,9.250555555555556
2023-11-23,2023-11-23 03:07:09+03:00,2023-11-23 10:02:55+03:00,6.929444444444444
2023-11-24,2023-11-24 02:23:53+03:00,2023-11-24 10:53:23+03:00,8.491666666666667
2023-11-25,2023-11-25 00:55:29+03:00,2023-11-25 09:50:12+03:00,8.911944444444444
2023-11-26,2023-11-26 01:26:08+03:00,2023-11-26 10:30:00+03:00,9.064444444444444
2023-11-28,2023-11-28 00:13:34+03:00,2023-11-28 09:36:17+03:00,9.37861111111111
2023-11-29,2023-11-29 01:26:03+03:00,2023-11-29 10:26:43+03:00,9.011111111111111
2023-11-30,2023-11-30 01:05:35+03:00,2023-11-30 09:00:22+03:00,7.913055555555555
2023-12-01,2023-12-01 00:00:00+03:00,2023-12-01 10:30:02+03:00,10.500555555555556
